wwtp_jurisdiction,junk1,junk2,wwtp_name,county_names,lab_id,population_served,sample_location,sample_matrix,pcr_target_units,pcr_target,pcr_target_avg_conc,pcr_target_flowpop_lin,lod_sewage,pcr_target_below_lod,sample_collect_date,quality_flag
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,456.3402279933906,6.459774947213775,1.071485091360489,0,2023-01-02,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.0622568511245791,32.127546724221176,0.15424185094347556,0,2023-01-02,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,8.045477208790313,40.27750071592156,3.3258959869434412,0,2023-01-03,no
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,276.04358187989425,10.60490126457747,13.406836622913755,0,2023-01-03,NA
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,10.802883747691222,99.6879994674735,4.1228747821196965,0,2023-01-03,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,52.71543846184618,432.96599083032794,1.6987881432802636,0,2023-01-03,NA
CA,A,YES,5,34687,4,1000000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,6.885239603500818,229.74987074032768,10.82238345503649,0,2023-01-03,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,28.351182973827616,266.95375529779506,4.623974785920688,0,2023-01-03,no
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,525.1236659332544,668.4903593460351,9.08483758036911,0,2023-01-03,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,692.340538837637,5.063398393209281,21.38753865100015,0,2023-01-03,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,39.93782388613959,11.69833491729379,4.959358574631709,0,2023-01-03,no
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.0644811979504432,41.46761347133586,0.6577316500311907,0,2023-01-03,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.435179031423122,179.0196107307954,0.7831147395280831,0,2023-01-03,NA
ZZ,F,NO,15,98436,4,8472,wwtp,raw wastewater,copies/g dry sludge,sars-cov-2,48.8854542150505,785.5101763320581,11.481962595257894,0,2023-01-03,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,1.7936991416491015,7.336498654648253,3.587398283298203,1,2023-01-04,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,5.639017094726396,59.20611278144642,9.425485444619234,0,2023-01-04,no
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,141.3480424620658,193.41645063823643,3.7106659118350334,0,2023-01-04,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,8.860362666247195,89.9942777741431,8.713846998511125,0,2023-01-04,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,20.354768660533676,7.798149164474054,15.21557641776394,0,2023-01-04,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,7.81439055868008,690.6142401259643,3.5420380746438065,0,2023-01-04,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,38.632604782682094,5.455289144363855,1.2897570562193899,0,2023-01-04,below loq
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,9.690787019938725,44.85481154601836,14.390826441300998,0,2023-01-04,NA
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.0371437125447556,16.643658778352314,0.1018983983031235,0,2023-01-04,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,-0.14059865717500838,8.477074200774332,0.16043133848897279,1,2023-01-04,no
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,0.6741893206279964,20.52304747265837,1.3483786412559928,1,2023-01-05,no
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,9.213432438093243,467.54870027586674,19.104719267310756,0,2023-01-05,no
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,105.40816229939371,332.0959006655594,17.309586785263622,0,2023-01-05,no
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,0.9693694950545131,8.274179546191354,1.9387389901090262,1,2023-01-05,no
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,293.372952930381,83.3920227790324,1.1330846161238484,0,2023-01-05,no
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,0.05078059327057802,814.7988536447767,0.3518105889345592,1,2023-01-05,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.0543294986626754,77.89632981660215,0.7233458885830267,0,2023-01-05,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,11.917227178713146,18.02822613418176,2.7315453798288956,0,2023-01-06,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,51.94043404667794,99.73155755071176,12.01622056070663,0,2023-01-06,y
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,62.57132662203255,8.865505807767626,2.941917084707746,0,2023-01-06,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,32.244377683448256,220.47509528547852,11.775924849564442,0,2023-01-06,yes
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,661.1820611975214,9.235676726791054,3.908097932696782,0,2023-01-06,y
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,8.78196358452969,105.21353472717601,14.86860612818895,0,2023-01-06,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,65.8794464791104,78.75667911237066,4.550292350271927,0,2023-01-06,result is not quantifiable
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,0.7905438180592764,197.65608933880296,1.0915738137232576,1,2023-01-06,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,-0.18539681942192834,70.67471715756251,0.11563317624205283,1,2023-01-06,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,521.4482122070327,177.2417430876511,1.0293360181042364,0,2023-01-07,NA
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,339.87932515251276,760.3278706484415,19.170134988503573,0,2023-01-07,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,24.267629166826836,734.2385186628919,5.6382099008339335,0,2023-01-07,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,177.4833931184256,43.96399978434991,1.3693087230193897,0,2023-01-07,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,14.27431798158416,6.517668307294351,3.4008803156596836,0,2023-01-07,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,137.20250183458862,308.88085874008095,1.8914415671146554,0,2023-01-07,no
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.5574348710725703,36.94506053036365,0.015389978853004065,0,2023-01-07,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.421700131005064,18.303770404633134,1.2845080250231884,0,2023-01-07,NA
ZZ,F,NO,14,09634,3,8472,wwtp,raw wastewater,copies/g dry sludge,sars-cov-2,62.55157839741537,210.8539351550834,7.65256236552534,0,2023-01-07,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,131.30679750544832,359.54013723174427,1.7967577817836142,0,2023-01-08,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,690.6411503137712,7.362639187526764,4.746511552418034,0,2023-01-08,no
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,5.803335900572163,87.02906434858058,13.709835921006245,0,2023-01-08,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,152.32124636799452,32.25317457398982,14.221600706427989,0,2023-01-08,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,6.408874139696166,12.407714498649254,8.69955762720997,0,2023-01-08,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,6.452718763896252,79.10056984823339,1.46519908277987,0,2023-01-08,no
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,821.2964027322233,287.3360386844041,4.634604139930713,0,2023-01-08,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,16.598803750091392,23.08901523781061,19.659377267354607,0,2023-01-08,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.2016890011336943,173.53867556998992,1.2759719511813978,0,2023-01-08,temperature not assessed upon arrival at the laboratory
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,10.145581141014883,38.471620515982444,4.204687765288971,0,2023-01-09,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,332.68665374034987,5.186752497468046,7.039870865907318,0,2023-01-09,no
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,909.2718230213907,95.62537352340955,1.211119201600031,0,2023-01-09,no
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,471.71923193370566,44.59725966999692,3.35533588059495,0,2023-01-09,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,34.87247567690326,248.9636961803126,1.4960641475089012,0,2023-01-09,no
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,11.495592763655702,39.13385631233105,3.9814621547285354,0,2023-01-09,> max temp and/or hold time
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,65.61180498764986,136.0683646239188,4.314202773212136,0,2023-01-09,result is not quantifiable
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.885415702225869,351.03049549927937,1.1103951101380294,0,2023-01-09,y
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.780835821161669,159.95578342572534,0.6588162693304195,0,2023-01-09,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,25.78457079057178,5.312387660424927,8.871589067317199,0,2023-01-10,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,9.927658223343428,388.0424407801104,18.9200986030612,0,2023-01-10,NA
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,58.731333743180485,9.137731244097838,1.5513755587507887,0,2023-01-10,NA
CA,A,YES,5,34687,3,1000000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,6.400543374601076,191.5471770338321,1.3813037709408231,0,2023-01-10,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,615.6672698290056,391.83983760118497,22.694932696240812,0,2023-01-10,no
CA,A,YES,5,34687,4,1000000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,896.5532914720403,151.96565798603766,3.227220996362399,0,2023-01-10,no
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,12.337628290713585,81.97642740200946,10.31261223992233,0,2023-01-10,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,10.656916381741485,22.895855658755295,1.0831517913830018,0,2023-01-10,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,10.505560111445298,6.037383599591004,21.011120222890597,1,2023-01-10,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.8559477414250343,10.007681049446875,0.9733984415971332,0,2023-01-10,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,12.286683603569443,355.21081413629145,24.573367207138887,1,2023-01-11,no
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,6.811702797589217,71.10128114633655,4.9183009345096265,0,2023-01-11,NA
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,5.628004007672834,59.63648010473265,6.072753827051153,0,2023-01-11,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,6.277535074850094,11.71195910581476,12.555070149700189,1,2023-01-11,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,117.70121730042058,49.73018704466841,4.52632345989394,0,2023-01-11,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,22.513746889067654,29.006369154559778,3.6456603526056863,0,2023-01-11,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,6.699328104770948,53.68909630207695,18.258572955498895,0,2023-01-11,no
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,37.02286990746543,6.218667479820192,6.137656519134712,0,2023-01-11,NA
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.9190310586915884,18.153400325556547,0.9659718998696941,0,2023-01-11,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.2764780702330636,8.637070751610635,0.46449944968220436,0,2023-01-11,NA
XX,D,ye,15,98436,10,1000000000,wwtp,raw wastewater,copies/l wastewater,FLUAV,12.694081385868751,7.329719106319113,1.0494477977485082,0,2023-01-11,NA
ZZ,F,NO,13,65174,2,8472,wwtp,raw wastewater,copies/g dry sludge,sars-cov-2,456.63354567581274,47.08633818823485,8.466017464898515,0,2023-01-11,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,5.805642914082082,24.45507289087341,2.313825261175917,0,2023-01-12,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,19.44718987764599,40.203764632495684,1.0905164782503574,0,2023-01-12,no
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,406.1682285142044,182.75552755410317,11.065053145208116,0,2023-01-12,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,66.32166767073055,16.749457921748586,5.45899388909348,0,2023-01-12,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,8.509899618392536,103.06717296936746,2.3869633498675435,0,2023-01-12,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,432.0649042180794,527.9723470794902,1.004104510783298,0,2023-01-12,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,42.181350795398465,116.77287742885648,9.719964389544671,0,2023-01-12,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,299.74807000174496,648.1111978177291,13.009797047536873,0,2023-01-12,y
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.309822094411865,19.204585969094797,0.8375484672231703,0,2023-01-12,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,164.05594243893796,395.07512339116994,6.521506611074547,0,2023-01-13,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,7.067189807481014,8.143104172197086,1.31190507988112,0,2023-01-13,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,20.668281743022384,6.767658180542428,5.350108435953022,0,2023-01-13,no
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,96.0092791625505,10.946085495005368,5.45077171046834,0,2023-01-13,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,1.7295987093645164,26.87041153519793,3.459197418729033,1,2023-01-13,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,9.034912516100114,22.351243840903013,6.19113281635205,0,2023-01-13,NA
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,0.3250037772000478,47.458536978029834,0.626033772864029,1,2023-01-13,no
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.404008614288464,66.19495041727531,0.8609710536047737,0,2023-01-13,NA
YY,E,No,12,32541,1,13,upstream,primary sludge,copies/g dry sludge,sars-cov-2,0.988911760903357,913.7650175746188,1.977823521806714,1,2023-01-13,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,139.9026637757234,19.35698296935395,2.6019121973694945,0,2023-01-14,below loq
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,685.5529370076822,32.5081314819729,3.5254470765823758,0,2023-01-14,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,125.55114410035812,16.769759239273125,10.443100783639888,0,2023-01-14,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,532.3347609753455,423.9301289145801,1.5906633424573682,0,2023-01-14,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,141.22139840745226,19.457990196094233,1.1894997182825309,0,2023-01-14,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,491.3249448660555,57.31987839122089,21.635482672228033,0,2023-01-14,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,663.291603218385,415.5687611832833,1.085896864015427,0,2023-01-14,NA
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.0077470638584316,28.769392752861677,1.2871716307244851,0,2023-01-14,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.4169543327984786,72.75685852787738,0.5125753166842177,0,2023-01-14,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,2.8135112007183563,43.47218034808254,5.6270224014367125,1,2023-01-15,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,2.893614726205544,21.83701015300171,5.787229452411088,1,2023-01-15,NA
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,11.158014543873952,19.259977815897816,1.6244820620583074,0,2023-01-15,temperature not assessed upon arrival at the laboratory
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,177.41317655177008,177.32874626625346,8.404587197692639,0,2023-01-15,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,541.8182179417457,10.901547157426906,1.5837425856449976,0,2023-01-15,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,103.0228091253949,848.558656969157,6.5956000522480345,0,2023-01-15,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,60.30230501674837,7.215824222592436,9.743599391588965,0,2023-01-15,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,145.42306914087774,121.64141586332515,3.866020629940402,0,2023-01-15,result is not quantifiable
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.403108102691187,14.04002632865471,1.3852148072601094,0,2023-01-15,temperature not assessed upon arrival at the laboratory
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,1.0346387310851741,99.34613229408048,0.12024822764162499,0,2023-01-15,temperature not assessed upon arrival at the laboratory
XX,D,ye,13,65174,10,1000000000,wwtp,raw wastewater,copies/l wastewater,FLUAV,56.69014470402034,393.7601646806122,3.383593646869905,0,2023-01-15,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,632.8401179640316,12.224419039706119,2.4220839813602884,0,2023-01-16,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,36.437595766791006,34.051180914187746,1.6254244912916882,0,2023-01-16,no
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,297.3302317904181,401.17364384539303,9.87258502299475,0,2023-01-16,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,996.3301269518645,716.9768503635777,7.262153111508785,0,2023-01-16,no
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,224.30359201433757,388.66246571436386,1.2963794216212479,0,2023-01-16,no
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,86.18583858723275,18.98330712581169,8.454855376322739,0,2023-01-16,NA
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,39.787407589139285,9.321144696730963,12.862416580432402,0,2023-01-16,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,70.43920442807422,10.107684327570373,3.3261656700476827,0,2023-01-16,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,0.8321668281694808,34.74190472778599,1.133196823833462,1,2023-01-16,below loq
XX,D,ye,15,98436,10,1000000000,wwtp,raw wastewater,copies/l wastewater,FLUAV,68.76978974336204,8.945084051899727,17.13221995466942,0,2023-01-16,NA
ZZ,F,NO,12,32541,1,8472,wwtp,raw wastewater,copies/g dry sludge,sars-cov-2,135.51672834177882,426.12127776912934,8.442434121409349,0,2023-01-16,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,236.3829208832575,70.41303977777574,22.48688884133083,0,2023-01-17,no
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,14.905461421620513,654.4029988440628,5.658387022894478,0,2023-01-17,no
CA,A,YES,5,34687,3,1000000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,14.96946780095108,7.52064900643304,1.3927662713952733,0,2023-01-17,no
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,25.69083947943441,26.266272232406603,8.625654472821527,0,2023-01-17,NA
CA,A,YES,5,34687,4,1000000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,13.56862327150862,44.52048579470506,1.0049832763717805,0,2023-01-17,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,78.17670563937182,40.49338892272207,3.2470445686183287,0,2023-01-17,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,13.256884947615685,196.88346637585602,5.546666029155501,0,2023-01-17,y
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,2.987293679567218,115.24536163359764,5.974587359134436,1,2023-01-17,NA
